text,intent
hey are you online? need info,greeting
hey team need info,greeting
hello all,greeting
hi good sir got a quick question,greeting
hello I have a question looking for help,greeting
hi need your assistance,greeting
hey are you available?,greeting
hi I have a question just checking in,greeting
hey team looking for help,greeting
hey reception need your assistance,greeting
hey are you available? need your assistance,greeting
hey there looking for help,greeting
hi hotel staff can I ask something?,greeting
hi I have a question need info,greeting
hi folks need your assistance,greeting
hey are you there? need info,greeting
hey I need help looking for help,greeting
hey staff just checking in,greeting
hi hotel staff need your assistance,greeting
hi I need help need support,greeting
hello I need some assistance can I ask something?,greeting
hey there need info,greeting
good day to you can you assist?,greeting
hello are you online? got a quick question,greeting
hi there need your assistance,greeting
hi all I have a query,greeting
hello I have a question need your assistance,greeting
hi kindly got a quick question,greeting
hey my friend,greeting
hi can you help me? need info,greeting
hello are you there? got a quick question,greeting
hey want to know something,greeting
want to know something,greeting
hi staff just checking in,greeting
hello looking for help,greeting
hi hotel staff can you assist?,greeting
hello can I ask something?,greeting
hello hotel staff want to know something,greeting
good day to you I have a query,greeting
hi good sir need support,greeting
hello good sir I have a query,greeting
hey can you help me? looking for help,greeting
hello anyone there? want to know something,greeting
hi everyone,greeting
good day to you looking for help,greeting
hey can you help me?,greeting
hello can you help me?,greeting
hello there need support,greeting
hey please need your assistance,greeting
hi can you help me? got a quick question,greeting
hey are you there? just checking in,greeting
hi hotel staff need info,greeting
hey there I have a query,greeting
hi I need some assistance can you assist?,greeting
hi I need some assistance want to know something,greeting
hey there need support,greeting
hey I need some assistance I have a query,greeting
hi anyone there? can you assist?,greeting
hello all need support,greeting
hi kindly I have a query,greeting
hi hotel can you assist?,greeting
hi can you help me? need support,greeting
hello folks,greeting
greetings,greeting
hey are you online? I have a query,greeting
hello all need info,greeting
hey I need help I have a query,greeting
hi support want to know something,greeting
hello hotel just checking in,greeting
hi can you help me? need your assistance,greeting
hi hotel staff just checking in,greeting
hey are you there? I have a query,greeting
hey hotel need info,greeting
hello staff want to know something,greeting
hi are you online? need support,greeting
hello there,greeting
hi all can I ask something?,greeting
hey team,greeting
hi folks just checking in,greeting
hello good sir just checking in,greeting
hello please got a quick question,greeting
hello my friend can I ask something?,greeting
hey I have a question need your assistance,greeting
hi hotel got a quick question,greeting
hey are you available? got a quick question,greeting
hello everyone need your assistance,greeting
hey folks need support,greeting
hello need your assistance,greeting
hello anyone there? need info,greeting
hello reception can you assist?,greeting
hi I have a question need your assistance,greeting
hi team want to know something,greeting
hey there want to know something,greeting
hi are you available? I have a query,greeting
hi are you online? need your assistance,greeting
good evening need your assistance,greeting
hi can you assist?,greeting
hello I need help need support,greeting
hey can you help me? want to know something,greeting
hi team need support,greeting
good day to you,greeting
hello I have a question I have a query,greeting
hi everyone I have a query,greeting
hey all just checking in,greeting
hi I have a question can I ask something?,greeting
hey folks need info,greeting
hello I have a query,greeting
hello kindly need info,greeting
howdy need support,greeting
good morning can you assist?,greeting
hello are you available? can I ask something?,greeting
hello team can I ask something?,greeting
hey folks I have a query,greeting
hi,greeting
hey my friend need info,greeting
hi support I have a query,greeting
hey please got a quick question,greeting
hey can you help me? need support,greeting
hi team I have a query,greeting
hey are you available? looking for help,greeting
howdy need info,greeting
hello folks I have a query,greeting
hi anyone there? looking for help,greeting
hi hotel staff want to know something,greeting
hey hotel staff I have a query,greeting
hey all want to know something,greeting
hello staff I have a query,greeting
hello good sir got a quick question,greeting
good afternoon want to know something,greeting
hello anyone there? need your assistance,greeting
hi I have a question looking for help,greeting
hey kindly got a quick question,greeting
hey anyone there? just checking in,greeting
hi reception can I ask something?,greeting
hey all I have a query,greeting
hi anyone there? need your assistance,greeting
hi staff need support,greeting
hi staff got a quick question,greeting
hello I need help can you assist?,greeting
hey I have a question,greeting
hello hotel can I ask something?,greeting
hi reception just checking in,greeting
hey I have a question I have a query,greeting
hello all just checking in,greeting
hello everyone can you assist?,greeting
hey my friend want to know something,greeting
hey are you available? just checking in,greeting
greetings need support,greeting
hi are you available?,greeting
hello are you there? can you assist?,greeting
hey hotel staff need your assistance,greeting
hey got a quick question,greeting
hi kindly need support,greeting
hello kindly just checking in,greeting
hey anyone there? can I ask something?,greeting
hello anyone there? got a quick question,greeting
hey there can I ask something?,greeting
hey team want to know something,greeting
hello hotel staff need your assistance,greeting
hi my friend looking for help,greeting
hi my friend can you assist?,greeting
good evening can I ask something?,greeting
howdy want to know something,greeting
hello are you online? need your assistance,greeting
hey please need support,greeting
hi everyone can you assist?,greeting
hi are you available? need info,greeting
hi anyone there?,greeting
hey I need help need your assistance,greeting
hello my friend want to know something,greeting
hi can you help me? can you assist?,greeting
hello staff just checking in,greeting
hello hotel need your assistance,greeting
good day to you need your assistance,greeting
good afternoon looking for help,greeting
hi reception got a quick question,greeting
good afternoon just checking in,greeting
hi support can I ask something?,greeting
hello all need your assistance,greeting
hello staff got a quick question,greeting
hey all,greeting
hello there looking for help,greeting
hi are you available? looking for help,greeting
hi staff looking for help,greeting
hey reception got a quick question,greeting
hi my friend want to know something,greeting
hello everyone,greeting
hello support need support,greeting
hello support I have a query,greeting
hi staff can you assist?,greeting
hello hotel want to know something,greeting
hey staff,greeting
hi are you there? need your assistance,greeting
hello there can I ask something?,greeting
hi I need help,greeting
hey there can you assist?,greeting
hi all can you assist?,greeting
hey team I have a query,greeting
hey are you available? need support,greeting
hey support need info,greeting
hello are you online? I have a query,greeting
hey all looking for help,greeting
hello I need help need your assistance,greeting
hey are you there? can I ask something?,greeting
good evening want to know something,greeting
good morning need info,greeting
hey hotel staff can I ask something?,greeting
hello anyone there? need support,greeting
hi hotel just checking in,greeting
hi hotel staff got a quick question,greeting
hello team need support,greeting
greetings need your assistance,greeting
hello I have a question can I ask something?,greeting
hello there need your assistance,greeting
hey hotel can I ask something?,greeting
hey please can you assist?,greeting
hello are you online?,greeting
hey I need some assistance need support,greeting
hi folks looking for help,greeting
hello please I have a query,greeting
hi team got a quick question,greeting
hi all,greeting
good morning need support,greeting
hello staff looking for help,greeting
hello all can you assist?,greeting
bye chatbot see you tomorrow,goodbye
until next week have a nice evening,goodbye
bye then talk soon,goodbye
thanks for your help bye,goodbye
goodbye for now have a nice day,goodbye
bye have a nice day,goodbye
bye support see you next time,goodbye
goodbye hotel staff have a good one,goodbye
goodbye support,goodbye
talk to you later thanks,goodbye
have a wonderful evening talk soon,goodbye
see you later have a nice evening,goodbye
until tomorrow have a good one,goodbye
have a wonderful evening have a nice evening,goodbye
later have a nice day,goodbye
good evening have a nice day,goodbye
bye then see you next time,goodbye
later dude have a good one,goodbye
until we meet again take care,goodbye
have a wonderful night,goodbye
until tomorrow have a nice evening,goodbye
so long thanks,goodbye
until later see you tomorrow,goodbye
thank you bye have a nice day,goodbye
thanks bye have a good one,goodbye
thank you for your help bye take care,goodbye
farewell thanks,goodbye
later on have a good one,goodbye
goodbye hotel staff thanks,goodbye
bye hotel see you next time,goodbye
bye now see you next time,goodbye
bye bye talk soon,goodbye
have a wonderful evening thanks,goodbye
see you shortly have a nice day,goodbye
see you have a nice day,goodbye
bye chatbot,goodbye
see you again,goodbye
see you later see you next time,goodbye
so long see you next time,goodbye
goodbye assistant have a good one,goodbye
later dude,goodbye
thanks bye talk soon,goodbye
bye see you next time,goodbye
have a great evening have a good one,goodbye
see you again have a nice day,goodbye
good day have a nice day,goodbye
bye for now talk soon,goodbye
bye chatbot talk soon,goodbye
catch you soon have a nice evening,goodbye
bye for now see you tomorrow,goodbye
bye staff thanks,goodbye
talk to you later see you next time,goodbye
have a wonderful evening,goodbye
good night thanks,goodbye
until soon take care,goodbye
bye support thanks,goodbye
have a nice evening see you tomorrow,goodbye
goodbye support see you next time,goodbye
bye bye,goodbye
bye hotel see you tomorrow,goodbye
have a wonderful day thanks,goodbye
later friend thanks,goodbye
talk soon have a good one,goodbye
goodbye take care,goodbye
bye chatbot see you next time,goodbye
bye assistant see you tomorrow,goodbye
bye staff,goodbye
see you later see you tomorrow,goodbye
later on,goodbye
good night take care,goodbye
have a nice evening talk soon,goodbye
good evening,goodbye
catch you later have a good one,goodbye
later dude have a nice day,goodbye
later friend take care,goodbye
have a nice day see you tomorrow,goodbye
thanks a lot bye take care,goodbye
see you tomorrow take care,goodbye
thanks for the info goodbye have a nice evening,goodbye
see you later thanks,goodbye
thank you for your help bye,goodbye
thank you goodbye see you next time,goodbye
have a good one,goodbye
thank you bye have a good one,goodbye
bye hotel talk soon,goodbye
goodbye and thank you,goodbye
have a great night talk soon,goodbye
talk later have a nice evening,goodbye
see ya,goodbye
later have a good one,goodbye
goodbye chatbot have a good one,goodbye
see you next time have a nice day,goodbye
have a pleasant night take care,goodbye
bye assistant have a nice evening,goodbye
later dude take care,goodbye
see you next time have a good one,goodbye
thanks for the info goodbye see you next time,goodbye
goodbye have a nice day,goodbye
see you around thanks,goodbye
goodbye support talk soon,goodbye
thank you goodbye take care,goodbye
bye assistant talk soon,goodbye
goodbye support thanks,goodbye
see you again see you tomorrow,goodbye
thanks again bye,goodbye
see you have a good one,goodbye
talk later thanks,goodbye
have a pleasant evening,goodbye
bye then take care,goodbye
thanks for your help bye thanks,goodbye
thank you goodbye talk soon,goodbye
bye hotel have a nice evening,goodbye
bye then see you tomorrow,goodbye
thanks for the info goodbye see you tomorrow,goodbye
until next week,goodbye
bye for now thanks,goodbye
see you shortly thanks,goodbye
good evening have a nice evening,goodbye
goodbye assistant see you next time,goodbye
talk to you later talk soon,goodbye
so long have a nice day,goodbye
have a nice evening have a good one,goodbye
goodbye talk soon,goodbye
goodbye hotel staff have a nice evening,goodbye
thanks so much goodbye have a nice evening,goodbye
bye thanks,goodbye
have a pleasant evening have a nice evening,goodbye
goodbye chatbot,goodbye
thanks again bye see you tomorrow,goodbye
later friend have a good one,goodbye
bye hotel thanks,goodbye
talk to you later,goodbye
until next time see you tomorrow,goodbye
bye staff have a nice evening,goodbye
thanks a lot bye see you tomorrow,goodbye
bye receptionist,goodbye
thanks for your help bye talk soon,goodbye
goodbye hotel staff take care,goodbye
later,goodbye
until next week take care,goodbye
see you tomorrow see you next time,goodbye
talk later take care,goodbye
goodbye for now see you next time,goodbye
goodbye and thank you have a nice day,goodbye
bye now take care,goodbye
later friend have a nice evening,goodbye
have a nice day thanks,goodbye
goodbye for now see you tomorrow,goodbye
have a pleasant evening thanks,goodbye
later friend see you next time,goodbye
have a good one see you tomorrow,goodbye
bye assistant have a good one,goodbye
good day take care,goodbye
bye receptionist see you tomorrow,goodbye
bye hotel have a good one,goodbye
have a nice evening thanks,goodbye
thanks so much goodbye take care,goodbye
farewell have a good one,goodbye
see you talk soon,goodbye
see you around see you tomorrow,goodbye
have a wonderful evening see you tomorrow,goodbye
until later talk soon,goodbye
see you later,goodbye
bye bye take care,goodbye
have a great evening see you tomorrow,goodbye
thank you bye talk soon,goodbye
have a good one have a nice day,goodbye
goodbye and thank you see you next time,goodbye
later friend see you tomorrow,goodbye
talk soon see you next time,goodbye
see you soon see you next time,goodbye
thank you goodbye see you tomorrow,goodbye
good day,goodbye
thank you again goodbye,goodbye
bye take care,goodbye
see you around have a nice evening,goodbye
bye chatbot have a good one,goodbye
goodbye hotel staff see you tomorrow,goodbye
thank you for your support goodbye,goodbye
see you around,goodbye
talk later talk soon,goodbye
have a pleasant night thanks,goodbye
thank you goodbye have a good one,goodbye
have a nice day talk soon,goodbye
talk later see you tomorrow,goodbye
goodbye chatbot have a nice day,goodbye
bye and thanks take care,goodbye
see you shortly take care,goodbye
have a pleasant night have a nice evening,goodbye
many thanks bye see you next time,goodbye
goodbye see you tomorrow,goodbye
thanks again bye see you next time,goodbye
have a wonderful day have a nice evening,goodbye
have a wonderful evening have a good one,goodbye
bye have a nice evening,goodbye
until soon,goodbye
bye assistant take care,goodbye
have a pleasant evening see you tomorrow,goodbye
have a wonderful night thanks,goodbye
thank you for your help bye see you next time,goodbye
until we meet again talk soon,goodbye
bye support see you tomorrow,goodbye
until soon have a good one,goodbye
see you soon take care,goodbye
thank you goodbye thanks,goodbye
good evening thanks,goodbye
talk later see you next time,goodbye
later on have a nice evening,goodbye
see you tomorrow,goodbye
until we meet again,goodbye
bye for now have a nice day,goodbye
thank you for your support goodbye see you next time,goodbye
bye support talk soon,goodbye
goodbye for now have a good one,goodbye
goodbye see you next time,goodbye
later take care,goodbye
have a nice day have a good one,goodbye
talk soon see you tomorrow,goodbye
catch you soon see you next time,goodbye
bye now have a nice day,goodbye
bye bye thanks,goodbye
thanks for the info goodbye talk soon,goodbye
until tomorrow see you next time,goodbye
thanks bye thanks,goodbye
thank you for your help bye have a nice evening,goodbye
goodbye for now,goodbye
see you shortly have a good one,goodbye
have a pleasant evening have a good one,goodbye
until soon see you tomorrow,goodbye
see you shortly talk soon,goodbye
until next week see you next time,goodbye
see you again take care,goodbye
bye see you tomorrow,goodbye
thank you again goodbye see you tomorrow,goodbye
bye bye see you next time,goodbye
thanks a lot bye see you next time,goodbye
goodbye assistant,goodbye
later dude have a nice evening,goodbye
good day see you next time,goodbye
have a pleasant evening take care,goodbye
catch you later see you next time,goodbye
catch you soon,goodbye
until we meet again have a good one,goodbye
good night have a good one,goodbye
until later see you next time,goodbye
until next time have a nice evening,goodbye
goodbye have a good one,goodbye
bye hotel team have a good one,goodbye
see you thanks,goodbye
thank you for your support goodbye have a nice evening,goodbye
have a wonderful day see you tomorrow,goodbye
thanks bye,goodbye
until later have a nice day,goodbye
bye,goodbye
goodbye support take care,goodbye
until soon see you next time,goodbye
good evening see you next time,goodbye
later have a nice evening,goodbye
see you see you next time,goodbye
until next time see you next time,goodbye
good evening have a good one,goodbye
have a wonderful night take care,goodbye
have a nice evening take care,goodbye
see you soon have a good one,goodbye
bye and thanks have a nice day,goodbye
thanks bye see you next time,goodbye
thanks for the info goodbye have a good one,goodbye
have a nice day see you next time,goodbye
have a nice night have a good one,goodbye
have a nice day,goodbye
until soon thanks,goodbye
catch you soon see you tomorrow,goodbye
goodbye support have a good one,goodbye
bye hotel team see you next time,goodbye
so long see you tomorrow,goodbye
thank you again goodbye see you next time,goodbye
have a good one thanks,goodbye
bye then have a good one,goodbye
have a great evening have a nice day,goodbye
later on have a nice day,goodbye
thanks for the info goodbye take care,goodbye
thank you bye thanks,goodbye
have a great night have a good one,goodbye
have a great night have a nice day,goodbye
see you tomorrow thanks,goodbye
see ya see you next time,goodbye
goodbye hotel staff talk soon,goodbye
goodbye assistant thanks,goodbye
catch you later take care,goodbye
bye and thanks have a nice evening,goodbye
good day have a good one,goodbye
bye support have a nice evening,goodbye
bye chatbot have a nice evening,goodbye
thank you for your support goodbye thanks,goodbye
see you soon have a nice day,goodbye
see you soon thanks,goodbye
have a wonderful night talk soon,goodbye
until next time,goodbye
see you next time see you next time,goodbye
have a pleasant night see you next time,goodbye
see you next time,goodbye
bye for now,goodbye
have a nice night have a nice evening,goodbye
see you next time take care,goodbye
good evening talk soon,goodbye
bye and thanks thanks,goodbye
until tomorrow thanks,goodbye
goodbye for now talk soon,goodbye
thank you for your help bye talk soon,goodbye
until next week have a good one,goodbye
see you again talk soon,goodbye
see ya have a nice day,goodbye
good day thanks,goodbye
bye now have a nice evening,goodbye
see you take care,goodbye
later friend have a nice day,goodbye
see you next time thanks,goodbye
have a pleasant night,goodbye
many thanks bye see you tomorrow,goodbye
talk to you later have a nice day,goodbye
bye for now have a good one,goodbye
talk later,goodbye
thanks a lot bye have a nice evening,goodbye
later dude talk soon,goodbye
until we meet again have a nice evening,goodbye
thanks so much goodbye have a nice day,goodbye
bye chatbot thanks,goodbye
catch you later have a nice day,goodbye
bye hotel have a nice day,goodbye
thanks for your help bye take care,goodbye
bye and thanks see you next time,goodbye
bye bye have a nice day,goodbye
see you shortly see you next time,goodbye
goodbye for now thanks,goodbye
thank you for your support goodbye see you tomorrow,goodbye
thanks again bye thanks,goodbye
good night see you next time,goodbye
thank you again goodbye take care,goodbye
see you,goodbye
good night,goodbye
thanks a lot bye talk soon,goodbye
have a great day have a nice day,goodbye
have a good one see you next time,goodbye
talk soon,goodbye
have a nice night,goodbye
goodbye chatbot see you tomorrow,goodbye
bye assistant see you next time,goodbye
farewell,goodbye
have a nice night take care,goodbye
thanks so much goodbye talk soon,goodbye
later on see you next time,goodbye
bye now see you tomorrow,goodbye
have a nice day have a nice day,goodbye
bye now thanks,goodbye
have a nice evening see you next time,goodbye
until next time take care,goodbye
bye now,goodbye
have a wonderful night see you next time,goodbye
until soon have a nice evening,goodbye
have a great day,goodbye
until next time thanks,goodbye
thanks so much goodbye,goodbye
see you again thanks,goodbye
until later thanks,goodbye
bye chatbot have a nice day,goodbye
see you next time have a nice evening,goodbye
bye staff take care,goodbye
thank you for your support goodbye talk soon,goodbye
catch you soon talk soon,goodbye
thanks for the info goodbye thanks,goodbye
many thanks bye have a nice evening,goodbye
goodbye chatbot talk soon,goodbye
thank you for your help bye thanks,goodbye
bye assistant,goodbye
many thanks bye take care,goodbye
see you around have a good one,goodbye
many thanks bye have a nice day,goodbye
see you around talk soon,goodbye
later thanks,goodbye
catch you soon take care,goodbye
good evening take care,goodbye
thanks a lot bye thanks,goodbye
have a great night thanks,goodbye
see you tomorrow have a good one,goodbye
thanks for the info goodbye have a nice day,goodbye
goodbye chatbot thanks,goodbye
until next time talk soon,goodbye
thanks again bye have a nice evening,goodbye
have a pleasant evening have a nice day,goodbye
farewell have a nice evening,goodbye
have a great evening take care,goodbye
bye talk soon,goodbye
see you see you tomorrow,goodbye
goodbye chatbot take care,goodbye
see you have a nice evening,goodbye
have a great day thanks,goodbye
goodbye assistant see you tomorrow,goodbye
goodbye assistant talk soon,goodbye
talk soon have a nice evening,goodbye
thanks again bye have a good one,goodbye
good night talk soon,goodbye
goodbye assistant have a nice day,goodbye
have a wonderful day take care,goodbye
see you soon,goodbye
bye support have a good one,goodbye
thanks a lot bye,goodbye
see you soon see you tomorrow,goodbye
until we meet again thanks,goodbye
goodbye for now have a nice evening,goodbye
have a great day take care,goodbye
have a great day have a good one,goodbye
thanks a lot bye have a good one,goodbye
bye hotel team,goodbye
so long have a nice evening,goodbye
goodbye support have a nice evening,goodbye
have a nice day have a nice evening,goodbye
bye hotel team see you tomorrow,goodbye
until soon have a nice day,goodbye
bye hotel team thanks,goodbye
goodbye for now take care,goodbye
thank you again goodbye have a nice day,goodbye
see you tomorrow have a nice day,goodbye
until next week talk soon,goodbye
bye receptionist have a good one,goodbye
thank you goodbye have a nice evening,goodbye
thanks for your help bye see you next time,goodbye
bye and thanks,goodbye
see ya have a nice evening,goodbye
good day have a nice evening,goodbye
thank you again goodbye have a good one,goodbye
later see you tomorrow,goodbye
catch you soon have a nice day,goodbye
thank you bye have a nice evening,goodbye
have a pleasant night have a good one,goodbye
see you tomorrow talk soon,goodbye
thank you for your support goodbye have a good one,goodbye
have a pleasant evening talk soon,goodbye
good day see you tomorrow,goodbye
thanks for your help bye have a nice day,goodbye
see you tomorrow see you tomorrow,goodbye
have a wonderful night see you tomorrow,goodbye
thank you bye see you next time,goodbye
later dude thanks,goodbye
have a great evening talk soon,goodbye
see ya see you tomorrow,goodbye
bye staff talk soon,goodbye
bye bye have a good one,goodbye
see you soon have a nice evening,goodbye
until later have a nice evening,goodbye
many thanks bye talk soon,goodbye
have a good one take care,goodbye
farewell take care,goodbye
thanks so much goodbye see you tomorrow,goodbye
later dude see you next time,goodbye
bye for now have a nice evening,goodbye
bye then thanks,goodbye
until we meet again have a nice day,goodbye
many thanks bye have a good one,goodbye
see ya talk soon,goodbye
see you shortly have a nice evening,goodbye
talk soon talk soon,goodbye
good night have a nice day,goodbye
later dude see you tomorrow,goodbye
until tomorrow have a nice day,goodbye
thank you again goodbye have a nice evening,goodbye
catch you soon thanks,goodbye
have a wonderful day see you next time,goodbye
bye hotel team take care,goodbye
have a pleasant night see you tomorrow,goodbye
thanks for your help bye see you tomorrow,goodbye
have a great day have a nice evening,goodbye
see ya thanks,goodbye
thanks again bye talk soon,goodbye
have a wonderful night have a nice day,goodbye
thank you for your support goodbye take care,goodbye
talk to you later have a nice evening,goodbye
thanks bye have a nice day,goodbye
have a wonderful day,goodbye
talk to you later see you tomorrow,goodbye
see you later take care,goodbye
thank you for your help bye see you tomorrow,goodbye
have a great evening thanks,goodbye
catch you later talk soon,goodbye
thank you for your help bye have a nice day,goodbye
good night have a nice evening,goodbye
have a great evening have a nice evening,goodbye
farewell see you next time,goodbye
have a great night have a nice evening,goodbye
goodbye and thank you talk soon,goodbye
goodbye chatbot see you next time,goodbye
